"Height","Weight","Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Cars","Passive.sport","Active.sport","Gardening","Shopping","Science.and.technology","Theatre","Fun.with.friends","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","Age","Number.of.siblings"
175,60,5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,5,5,4,5,3,3,2,5,5,3,1,2,5,1,3,5,4,2,4,1,1,2,2,2,1,1,1,4,2,19,2
176,60,5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,5,3,4,4,3,2,5,5,5,5,1,1,5,3,1,3,3,1,3,4,1,1,3,5,5,5,5,5,5,17,1
168,55,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,5,1,5,4,3,1,4,5,3,3,1,3,5,3,4,2,3,2,4,1,1,1,1,1,3,1,5,2,2,24,10
165,55,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,5,3,2,5,5,2,1,5,4,2,1,1,3,3,1,5,2,3,5,2,3,3,4,3,4,3,2,1,3,19,1
175,57,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,4,1,3,5,4,1,1,5,5,3,1,1,3,1,5,5,2,4,5,5,5,3,3,2,5,1,5,5,3,22,1
177,77,1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,5,5,5,5,3,3,5,4,4,5,2,5,5,3,3,3,5,3,5,5,1,1,1,1,1,1,1,1,2,18,0
175,65,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,5,3,3,5,3,2,2,2,2,4,1,1,5,1,1,4,2,1,5,1,3,5,4,5,3,1,2,5,4,19,2
168,65,5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,5,4,2,5,5,5,2,4,4,5,1,1,1,3,3,3,4,3,3,3,5,5,5,4,4,1,5,5,3,20,1
181,78,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,5,2,4,5,4,5,5,4,4,5,5,2,3,3,1,2,5,1,3,1,1,1,1,1,1,1,1,1,2,18,2
188,90,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,3,1,4,4,2,3,5,4,4,5,2,4,4,2,1,3,4,2,5,3,2,2,4,4,2,2,2,2,3,18,1
186,77,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,5,5,5,5,3,3,4,3,3,3,2,5,5,5,2,1,5,2,4,2,2,2,2,2,2,2,1,1,2,20,1
186,85,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,5,5,5,5,2,5,3,3,4,5,2,1,5,3,3,1,5,4,5,1,1,1,1,1,1,1,1,1,1,24,1
167,70,5,3,3,2,3,3,3,4,4,1,2,2,1,1,3,2,3,3,2,5,2,3,5,4,4,2,4,5,5,3,2,3,3,1,1,3,2,5,1,2,1,1,5,5,3,1,3,3,22,1
168,54,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,5,2,4,5,5,4,3,5,5,3,2,3,2,4,3,4,3,5,5,2,4,5,3,3,3,2,3,3,3,20,3
167,51,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,5,4,2,5,5,2,2,2,2,3,1,3,4,5,3,5,5,5,5,1,1,2,1,5,5,4,5,5,5,19,1
170,56,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,5,1,2,5,5,1,1,4,3,3,1,1,3,4,1,5,1,3,5,3,2,2,3,5,2,1,4,4,2,20,1
165,63,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,5,3,2,5,4,2,5,5,5,5,2,4,4,5,5,4,3,1,4,1,1,1,1,1,2,1,2,2,3,22,1
163,50,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,5,2,4,3,4,5,3,2,4,5,2,1,3,4,2,5,2,1,4,3,5,2,2,5,5,1,4,1,2,19,1
187,80,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,5,3,3,5,3,1,5,4,4,3,4,5,5,5,1,5,3,1,5,1,1,2,4,4,4,3,4,1,2,20,2
168,60,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,5,3,2,5,5,2,4,5,5,4,2,2,5,4,3,4,3,4,5,3,3,4,5,5,5,5,5,5,3,19,2
183,87,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,5,2,5,4,3,4,4,3,3,4,3,4,1,5,1,4,4,2,5,1,1,1,3,5,3,3,4,3,4,25,1
177,80,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,4,1,1,5,5,2,2,5,5,4,1,3,3,1,3,2,1,3,4,1,1,1,1,2,5,3,1,3,2,22,1
158,46,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,5,5,5,5,5,2,3,5,5,3,2,3,2,2,1,5,3,3,5,3,5,5,5,5,5,5,1,5,2,20,4
170,70,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,4,3,4,4,3,1,3,5,4,5,2,1,5,4,4,3,3,4,5,1,5,2,4,4,5,3,1,2,4,27,1
177,67,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,5,2,3,5,4,4,2,2,5,3,1,5,5,3,1,3,5,3,5,1,2,2,1,2,2,2,1,2,3,20,5
170,72,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,5,1,2,5,5,3,4,1,1,1,1,4,3,3,3,4,2,5,5,3,5,3,3,4,5,4,5,5,1,19,1
173,65,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,5,3,5,4,4,4,4,5,5,3,1,4,2,1,2,4,4,4,5,3,1,4,3,5,4,1,3,2,5,18,1
185,101,5,5,1,1,1,5,1,2,3,5,2,1,2,2,2,1,1,1,1,4,3,2,5,2,3,4,2,2,4,3,2,3,5,5,4,4,1,5,1,1,1,3,3,1,1,3,3,2,21,1
168,60,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,5,1,4,5,5,3,3,5,5,5,2,1,3,4,4,4,3,3,5,3,4,2,4,5,1,1,1,3,2,23,1
155,46,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,4,5,5,5,5,3,4,5,5,4,2,4,5,5,2,4,5,2,3,3,3,2,2,5,5,5,3,4,4,21,1
172,62,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,5,1,5,5,3,2,1,2,2,4,1,1,3,1,1,5,3,1,2,1,3,5,3,5,2,5,3,5,3,26,1
188,80,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,3,1,5,5,1,5,5,1,1,5,5,1,1,5,1,1,3,1,5,2,1,1,1,1,1,1,1,1,2,20,3
170,90,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,5,4,4,5,5,5,3,5,5,4,3,3,3,1,1,4,4,2,5,1,1,3,1,5,1,1,1,3,5,19,0
163,55,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,5,1,1,5,4,3,2,5,5,3,1,2,4,3,1,5,3,3,5,1,3,4,5,5,5,3,2,4,1,20,1
170,67,4,4,4,2,1,3,3,4,4,1,1,3,1,3,3,4,5,4,3,5,3,4,5,4,3,1,5,4,4,1,1,4,2,2,5,4,4,5,3,2,4,5,5,5,3,3,5,3,25,1
181,78,5,4,5,2,2,4,3,5,4,1,2,3,3,3,5,1,4,3,4,5,5,4,5,2,4,1,2,1,5,2,1,4,5,1,3,5,2,5,5,2,2,5,5,4,1,5,4,4,27,1
163,55,5,3,4,3,4,1,5,5,5,3,2,5,2,3,5,4,5,2,2,5,5,5,5,3,5,1,3,2,1,1,5,3,5,1,5,3,3,5,1,1,1,1,1,2,1,1,2,1,21,1
170,60,5,3,3,1,1,2,3,4,4,2,2,1,3,3,3,4,3,2,3,5,3,3,4,2,2,3,3,5,2,1,2,2,2,1,4,2,4,5,1,2,1,3,1,3,5,3,4,4,19,1
171,70,5,4,3,1,1,1,4,3,2,1,2,5,5,2,2,2,4,2,1,3,2,2,3,2,2,1,2,2,3,1,2,3,4,2,3,3,4,3,3,1,2,2,2,3,3,5,3,1,20,1
157,41,5,4,2,1,2,2,2,3,5,3,5,3,2,2,4,2,1,2,1,5,3,4,5,3,3,3,5,3,1,1,3,2,1,1,5,3,2,5,3,1,5,4,5,3,2,3,2,5,20,1
175,60,4,3,2,4,2,5,5,5,5,2,4,4,4,3,4,4,5,1,2,5,1,5,5,4,2,4,4,4,4,1,1,3,4,1,4,4,2,4,1,2,1,2,2,2,4,2,5,4,19,2
174,75,5,3,3,3,1,4,3,5,4,3,2,2,4,4,4,3,5,3,2,5,2,4,5,5,4,3,5,5,4,3,4,5,5,2,3,5,2,4,3,1,3,1,5,1,1,1,2,2,19,1
160,58,5,3,5,5,5,5,5,5,5,4,2,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,4,4,5,3,3,5,4,5,5,4,3,1,3,21,2
164,51,5,3,4,4,3,4,5,4,3,2,2,3,3,3,3,3,5,2,5,5,3,3,5,5,1,5,5,3,3,1,5,5,5,3,3,3,5,5,3,1,1,1,5,1,3,1,3,5,18,4
160,57,5,3,5,5,3,5,5,5,5,4,3,3,3,4,4,3,5,4,5,5,5,5,5,5,5,3,5,5,5,2,2,5,4,1,2,3,5,5,3,2,5,5,3,5,4,1,5,2,21,2
165,45,5,3,4,2,2,4,3,4,3,3,2,4,3,3,4,4,4,5,3,5,2,4,3,3,2,3,4,4,3,2,2,1,3,1,3,4,2,4,2,2,5,3,5,5,5,3,5,4,23,1
170,64,5,3,1,2,3,4,3,4,5,1,4,2,3,4,5,5,1,1,4,5,4,2,5,5,3,2,4,4,3,3,3,5,1,2,2,3,4,5,3,1,5,3,3,5,1,5,1,3,20,2
157,45,5,3,3,3,2,3,2,2,5,2,2,2,2,4,5,5,1,1,2,5,4,4,5,3,5,3,5,5,5,2,1,5,3,1,5,3,5,5,2,2,2,2,5,3,3,4,4,5,21,1
185,71,5,5,5,3,2,3,2,5,1,1,1,2,2,1,2,2,3,3,1,5,2,4,5,1,3,2,3,3,5,1,2,5,3,3,4,4,1,5,1,1,2,5,1,5,3,5,4,3,19,1
178,74,5,4,2,1,2,3,1,3,4,3,5,3,3,4,5,5,1,4,3,5,5,3,3,3,4,3,3,2,3,1,1,1,1,1,1,1,1,3,5,1,1,4,2,3,1,1,2,5,22,1
175,72,5,2,2,2,2,4,4,4,4,1,3,2,3,3,4,4,2,1,3,5,1,4,4,4,4,5,3,2,4,3,3,3,4,2,2,4,4,4,1,1,1,2,2,3,2,2,3,5,23,1
165,56,5,3,5,1,2,4,3,4,4,1,2,3,2,3,3,3,4,4,3,5,3,4,5,5,5,3,4,4,2,2,4,4,1,1,3,3,3,5,1,1,1,3,3,4,4,4,4,2,23,1
189,81,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5,1,5,5,5,5,5,1,5,5,5,1,2,5,2,5,5,5,5,5,5,5,5,5,5,4,23,2
180,78,5,4,3,1,3,2,1,2,3,1,2,5,4,3,3,1,3,5,1,5,4,5,3,2,4,5,3,3,4,3,5,5,5,1,3,4,2,5,3,2,2,4,3,4,3,2,3,3,22,2
180,52,5,3,3,1,1,1,4,4,5,1,3,2,1,2,2,1,3,2,2,5,2,1,5,5,1,3,5,5,2,1,1,2,1,1,5,4,5,5,1,2,5,3,5,1,3,5,4,3,18,0
185,84,4,3,3,1,2,2,1,3,3,3,2,4,2,2,2,1,2,4,2,5,5,5,5,3,5,5,4,4,3,2,2,3,3,1,2,2,1,3,1,1,2,2,1,2,1,4,2,4,17,1
183,83,4,3,4,2,2,2,4,5,3,4,3,3,3,3,2,2,4,5,1,4,3,4,5,3,5,5,5,5,4,3,4,5,5,1,3,4,2,4,3,2,3,5,1,3,2,1,1,3,20,1
160,58,3,4,4,3,2,2,4,5,1,1,1,4,3,4,4,1,5,1,1,5,3,3,5,5,1,2,4,1,2,1,1,1,3,4,3,2,3,5,1,1,2,4,1,3,2,2,5,2,24,0
162,50,5,5,3,2,1,2,4,3,5,5,5,1,5,4,4,3,2,4,2,5,1,2,5,4,4,2,5,5,2,1,3,5,1,1,3,4,3,5,3,5,2,2,4,5,3,1,3,5,18,1
163,47,5,4,1,1,1,1,4,5,4,1,1,1,1,1,2,1,4,1,2,5,1,1,5,5,1,1,3,5,1,1,2,1,1,1,5,3,3,5,2,5,1,1,1,5,5,1,5,3,20,3
185,82,5,3,5,2,2,2,3,5,3,1,1,5,2,3,1,1,2,3,1,5,1,3,5,3,3,3,2,3,2,1,5,1,5,2,4,3,1,5,2,2,2,2,4,3,3,3,4,3,17,1
175,83,4,3,2,3,1,4,1,4,1,1,1,4,4,1,2,3,1,3,1,4,2,3,5,3,1,3,3,4,3,1,5,1,5,1,4,4,1,5,1,1,1,4,3,4,3,5,5,1,20,1
168,52,5,3,2,2,2,2,5,5,5,2,4,4,2,2,3,3,5,1,1,5,4,5,5,5,3,3,5,5,4,2,3,4,3,2,3,1,2,5,1,3,3,3,5,5,4,3,4,4,28,1
177,80,5,3,3,2,2,2,1,5,2,1,2,5,2,2,2,2,4,3,1,5,4,4,5,4,3,5,5,5,3,3,5,3,5,1,5,5,2,5,5,2,1,3,3,3,3,5,3,5,21,1
190,80,5,3,2,1,4,5,3,2,1,1,1,5,4,1,1,1,1,2,4,5,1,1,5,1,4,5,3,1,4,5,5,2,5,1,3,2,2,4,5,5,1,4,3,4,3,3,5,2,22,1
192,77,5,3,3,4,4,3,1,1,5,4,4,3,5,4,5,4,4,1,2,4,2,3,5,2,1,4,1,2,4,4,5,5,5,1,4,4,4,5,2,1,2,5,1,2,1,1,2,1,20,1
188,75,4,4,4,1,1,2,2,2,2,1,2,4,1,1,2,1,1,1,1,4,2,2,5,3,3,3,1,2,3,2,5,3,5,1,4,5,1,5,2,3,2,3,1,5,2,1,3,3,18,1
175,60,5,3,5,1,2,2,2,5,4,2,1,4,2,2,2,2,5,5,1,5,1,2,5,3,1,1,5,5,5,2,1,3,5,1,5,3,5,5,1,1,1,3,5,5,2,2,5,3,21,1
148,57,4,4,4,2,4,1,5,5,3,1,1,4,5,5,5,3,5,4,2,5,3,3,5,4,2,3,5,5,5,3,1,1,5,5,2,5,5,5,1,1,1,1,3,3,3,5,3,4,24,1
173,63,5,3,4,4,4,3,4,5,5,2,2,5,3,3,3,3,4,4,4,5,4,4,5,4,5,5,5,5,5,3,4,4,3,2,5,4,3,5,2,3,2,4,5,5,5,2,3,4,21,2
163,48,5,3,4,2,2,2,3,4,5,2,3,4,4,3,4,2,5,3,2,5,5,4,5,4,3,4,5,5,4,2,3,5,5,1,4,3,2,5,2,1,4,2,3,4,3,1,3,4,19,1
177,80,5,4,4,1,2,3,3,5,4,2,3,4,4,3,4,3,5,3,3,5,4,3,5,3,5,3,5,4,4,3,5,4,5,1,3,5,2,5,1,1,2,2,1,1,1,1,4,1,22,1
163,47,5,5,1,3,1,3,2,1,5,5,4,1,1,2,2,5,1,1,3,5,1,2,3,2,4,3,5,5,5,3,1,5,1,4,3,2,3,4,2,1,5,2,3,4,1,1,3,5,18,1
163,53,5,3,5,1,2,4,4,5,5,3,1,3,2,4,3,1,5,5,3,5,3,5,5,5,1,1,5,5,5,1,4,3,1,3,3,3,5,5,3,4,5,3,5,4,4,3,3,3,22,2
168,48,5,3,1,1,4,5,5,1,5,5,5,4,4,5,5,4,3,1,5,5,5,5,4,1,5,5,3,5,5,5,3,5,1,1,4,4,5,5,1,1,1,3,3,1,1,1,1,4,19,0
159,53,5,2,3,3,5,5,3,3,4,4,1,1,1,2,3,3,2,4,3,5,3,3,5,4,3,5,5,5,3,3,3,4,4,2,4,5,5,4,2,3,4,5,2,4,4,1,4,3,22,2
179,65,4,3,4,3,3,3,2,4,5,3,3,4,3,3,3,3,2,3,3,5,2,4,4,1,4,4,3,4,4,3,4,5,5,2,2,5,5,5,4,4,4,4,2,2,3,3,1,5,24,3
159,50,5,4,4,1,2,2,4,4,5,2,4,3,5,3,4,4,5,2,1,5,1,5,5,4,1,5,3,2,4,2,1,2,5,1,5,3,4,5,1,2,2,1,3,3,3,5,3,2,18,3
164,75,5,5,5,1,1,5,2,5,5,1,1,1,1,5,5,4,5,5,1,5,5,5,5,2,2,1,3,3,4,1,1,1,1,2,5,3,3,5,5,2,2,4,5,1,2,1,5,5,21,0
156,50,5,3,3,2,1,4,3,3,5,3,3,1,2,4,4,4,2,1,3,5,1,4,4,3,2,3,3,3,3,3,1,2,2,1,3,1,4,4,3,3,2,3,2,3,5,4,5,3,22,2
154,58,4,2,3,2,1,3,4,3,4,1,3,1,3,1,2,3,1,1,1,4,2,2,5,4,2,2,5,5,3,1,3,5,1,1,4,3,2,5,2,3,1,3,5,3,1,5,4,3,19,3
168,50,5,5,1,5,1,3,5,3,5,5,5,1,5,1,3,1,1,1,1,5,4,4,5,5,3,1,5,5,1,1,1,5,3,1,3,1,3,5,1,3,1,1,5,5,5,5,5,1,18,4
170,63,5,2,1,3,4,4,4,2,3,1,2,1,3,5,4,3,3,1,4,5,1,3,3,4,3,2,4,4,5,3,1,2,2,1,3,2,4,4,2,1,2,1,1,2,1,1,2,2,19,0
175,80,5,4,1,5,5,4,4,4,3,3,3,1,1,5,4,1,1,1,4,4,4,3,3,1,4,3,3,4,3,3,5,4,4,1,1,5,1,5,5,4,2,4,2,1,2,1,1,1,24,2
179,68,5,5,5,1,1,1,2,4,3,1,3,5,2,1,3,3,1,4,1,5,5,5,5,1,4,2,2,3,3,1,4,2,1,1,2,4,2,4,1,1,1,4,2,1,1,1,1,3,21,1
180,75,5,3,3,2,2,4,3,3,3,1,2,5,5,4,4,2,3,2,2,5,3,3,5,3,5,5,4,4,3,1,5,4,2,1,3,5,3,5,1,2,2,1,4,4,4,4,5,2,21,1
182,81,5,3,1,1,1,1,1,2,4,5,4,3,1,1,1,4,1,4,1,2,1,1,5,1,5,5,5,5,1,1,1,1,4,1,1,1,1,5,1,1,1,2,4,1,1,1,5,5,19,1
200,75,5,3,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,2,1,5,2,3,5,3,5,5,3,5,5,3,2,1,5,2,1,4,1,3,1,1,2,3,2,4,1,1,1,2,19,1
187,70,3,5,5,1,1,1,1,3,5,2,1,1,3,2,2,5,5,3,1,3,3,3,2,2,5,5,1,3,5,3,1,5,5,1,3,5,1,5,1,1,1,3,5,1,1,3,3,1,22,1
162,50,5,3,4,1,1,2,2,4,2,1,3,2,4,1,2,1,4,1,1,3,2,1,5,4,2,1,4,3,5,1,2,4,2,1,5,3,3,4,2,2,3,3,5,2,1,2,2,4,18,1
172,71,5,4,4,3,2,4,5,4,5,3,2,4,4,3,3,2,3,2,2,5,2,2,5,5,3,2,5,5,3,2,2,4,1,3,4,3,3,5,3,4,3,5,4,3,3,1,5,3,21,1
194,90,5,3,1,3,2,3,1,2,4,5,4,1,4,3,3,3,1,1,2,4,1,4,5,3,4,5,4,5,5,4,3,5,1,1,1,3,1,5,2,1,1,2,5,5,3,1,3,3,18,1
168,55,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,5,4,5,5,4,5,4,5,5,5,2,2,1,5,2,1,2,4,5,1,2,4,1,1,1,4,2,1,3,20,0
185,80,5,5,5,2,2,3,4,5,1,1,1,5,5,4,3,2,5,4,4,5,1,5,5,5,4,4,2,5,5,4,5,5,3,1,4,5,4,5,1,1,1,1,4,4,1,4,2,1,22,0
180,70,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,4,4,4,4,2,3,5,4,4,5,3,4,3,3,2,2,3,3,4,1,1,1,3,1,1,1,1,1,1,21,1
178,74,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,4,1,2,4,3,1,4,4,5,5,3,3,4,5,3,3,4,3,3,1,2,1,2,1,4,2,1,2,2,24,1
182,80,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,5,2,3,5,5,5,5,5,5,4,3,3,5,2,1,2,5,2,5,2,1,1,1,2,2,2,3,2,3,19,1
178,55,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,2,3,1,1,4,2,2,3,3,3,2,1,4,2,5,2,3,2,5,5,4,2,5,1,1,1,3,1,3,1,18,1
168,61,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,5,3,5,5,4,3,2,4,4,3,1,2,4,1,1,4,2,3,2,1,1,2,4,5,3,2,5,4,2,17,1
176,65,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,5,1,4,4,2,5,5,3,3,4,3,5,2,2,1,2,4,1,4,3,1,3,2,1,4,4,1,3,4,18,0
185,70,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,4,1,2,5,3,4,5,4,3,4,5,1,2,4,1,2,4,1,4,1,1,2,4,4,4,1,2,1,2,21,1
166,56,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,4,1,2,4,4,2,2,5,4,4,2,1,1,3,2,2,3,4,5,2,2,2,3,5,4,5,1,5,5,22,1
163,54,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,5,1,3,4,4,3,1,4,4,4,1,1,3,2,3,3,5,5,4,2,4,3,1,4,4,1,2,3,3,20,1
162,60,3,4,4,2,3,1,2,4,4,2,1,3,1,1,2,2,2,5,1,4,3,3,5,5,1,1,5,5,5,2,4,5,3,5,4,2,2,4,1,1,3,3,3,3,3,1,1,1,21,1
163,54,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,5,1,4,4,3,2,2,5,5,3,2,2,1,1,2,5,4,4,5,1,1,2,2,5,5,1,3,5,5,19,1
175,62,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,5,5,5,5,3,3,3,3,5,3,1,5,3,4,3,5,4,4,5,1,1,4,5,5,5,3,5,5,2,17,0
169,61,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,4,1,2,5,5,3,3,5,5,3,1,1,1,1,1,3,1,2,4,4,2,5,5,5,5,1,3,5,4,21,1
165,55,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,4,1,2,4,5,2,2,4,2,4,1,5,1,1,2,3,3,2,2,3,1,2,4,3,5,3,2,2,4,18,3
175,60,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,5,3,2,3,2,2,3,2,2,3,3,2,4,1,2,2,3,2,4,2,1,1,1,2,1,1,2,1,3,23,1
161,54,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,3,2,3,4,3,1,2,3,3,2,1,1,2,1,2,1,2,2,3,4,2,1,2,2,4,1,1,2,3,16,1
188,90,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,3,1,3,5,4,2,5,4,4,5,3,2,1,4,1,1,5,5,5,1,1,2,1,1,4,4,1,1,2,23,0
180,85,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,4,4,4,4,3,3,4,3,4,1,3,5,3,2,1,2,4,1,5,1,1,1,2,1,2,3,2,3,3,21,2
156,56,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,4,4,4,3,2,2,2,4,4,5,2,4,4,2,2,3,1,5,5,4,2,1,2,2,4,3,2,2,2,23,0
172,80,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,3,1,4,4,2,1,1,2,4,5,1,2,2,4,4,2,3,4,5,2,2,1,1,1,1,1,3,2,4,20,0
176,69,4,4,1,4,2,5,5,3,5,3,3,1,2,4,5,2,3,1,3,4,5,5,5,4,5,5,5,5,5,5,4,4,5,1,1,5,4,4,1,1,1,2,1,1,1,1,2,1,20,4
157,54,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,5,2,3,5,4,4,3,4,4,3,2,1,4,3,4,4,3,5,5,3,2,2,2,4,3,2,4,4,3,20,1
163,56,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,3,1,2,4,4,1,1,5,5,3,1,3,1,1,2,4,2,2,5,4,3,5,4,1,4,4,4,5,3,20,2
177,64,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,5,2,4,4,3,4,4,3,3,4,2,4,4,1,2,2,4,3,5,1,2,2,2,2,2,2,4,2,2,19,1
